gte65_ppltn_cnt,gas_fire_cs_nocs,bldg_fire_nocs,trfc_fire_cs_nocs,mchn_fire_cs_nocs,etc_fire_nocs,etc_fire_cs_nocs,grn_area,cty_area,uncnf_fire_cs_nocs,saf_cs_nocs,arson_fire_cs_nocs,crlssnss_fire_cs_nocs,acdnt_yr,vsl_arpln_fire_nocs,fruswtr_eaqt,sgg_nm,ctpv_nm,hama_gas_mfy_fire_nocs,hnl_dam_injpsn_cnt,hnl_dam_dcsd_cnt,hnl_dam_cnt,fnd_fire_nocs,ntre_fire_cs_nocs,prpt_dam_amt,efire_cs_nocs,vhcl_fire_nocs,tppl,avg_dspt_req_hr,avg_dspt_nope,avg_dspt_eqpmnt_cnt,avg_grnds_sfty_cntr_dstnc,fire_ocrn_nocs,chem_fire_cs_nocs,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url
47318,0,140,2,36,51,1,53746927,84958649,13,1,0,129,2021,2,724,강릉시,강원,0,7,1,8,10,1,9874178,50,36,212965,493,31.89539749,10.17991632,5.579079498,239,4,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
8236,1,34,1,5,13,1,8304854,12421767,2,1,1,34,2021,2,323,고성군,강원,0,4,0,4,4,1,305133,9,3,27249,471,36.57142857,10.19642857,5.732142857,56,0,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
19039,0,38,0,7,17,1,81863718,124014784,1,0,1,31,2021,2,522,동해시,강원,0,1,0,1,1,0,1442452,21,7,90081,437,35.18461538,10.83076923,2.684615385,65,2,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
16884,0,36,1,8,18,0,56229797,79882140,2,0,0,40,2021,0,326,삼척시,강원,0,2,3,5,7,1,445022,16,9,63429,605,46.72857143,10.64285714,7.725714286,70,2,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
16673,1,48,0,8,19,0,27311981,42065437,3,0,0,37,2021,1,319,속초시,강원,0,13,0,13,1,0,668152,20,6,82791,351,31.16,10.33333333,3.390666667,75,6,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
4893,0,20,1,4,14,0,2028728,3710000,6,0,1,13,2021,0,155,양구군,강원,0,2,1,3,2,0,150515,10,1,21748,599,28.32432432,8.189189189,13.32432432,37,2,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
8671,0,26,0,8,15,1,8518495,12029284,5,1,1,29,2021,0,215,양양군,강원,0,8,0,8,7,0,530629,14,12,27913,601,45.73333333,20.83333333,6.99,60,1,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
11735,0,33,0,6,17,0,21231358,26383940,8,0,1,26,2021,0,270,영월군,강원,0,5,0,5,3,3,1290809,15,8,37904,693,28.50819672,9.983606557,8.060655738,61,1,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
56771,2,152,5,32,38,3,53375133,88304465,11,4,6,103,2021,0,960,원주시,강원,0,18,6,24,14,2,8499862,71,39,357757,460,31.65020576,9.95473251,5.171604938,243,2,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
6899,1,28,5,10,16,1,10650989,14839016,4,0,0,31,2021,0,342,인제군,강원,0,5,0,5,6,0,672450,14,16,32165,640,35.21212121,9.939393939,11.74545455,66,0,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=9
