bldg_nm,bdst_usg_nm,bdst_sn,pbnst_yn,mng_inst_clsf_nm,trgtobj_se_nm,trgtobj_nm,cty_frmvl_se_nm,cltpty_yn,arson_mng_trgt_yn,subord_usg_dsctn,use_aprv_ymd,conm_addr,cntr_nm,frstn_nm,frfgh_fclt_cpcst_cmcrt_ymd,isf_chck_trgt_yn,isf_chck_trgt_type_nm,grnds_sgg_nm,grnds_ctpv_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url,latitude,longitude,_platelets_coordinate_note
,복합건축물,11000000000001,,,일반대상물,,도시,,,복합건축물(제1호부터 제27호까지의 것 중 둘 이상의 용도로 사용),20130813,서울특별시 광진구 자양동,현장대응단,광진소방서,,,,광진구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.534320,127.081840,approximate:서울특별시 광진구 자양동
,문화재,11000000000003,Y,국가행정기관,2급대상,,도시,Y,Y,국가지정문화재 국보,20111128,서울특별시 종로구 세종로,현장대응단,종로소방서,,Y,종합정밀점검-공공기관,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.575900,126.976340,approximate:서울특별시 종로구 세종로
종묘공원,문화재,11000000000004,Y,국가행정기관,2급대상,,도시,,Y,국가지정문화재 국보,13950903,서울특별시 종로구 훈정동,종로119안전센터,종로소방서,,Y,종합정밀점검-공공기관,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.573480,126.993640,approximate:서울특별시 종로구 훈정동
숭례문 남대문),문화재,11000000000005,Y,국가행정기관,2급대상,,도시,Y,Y,국가지정문화재 국보,13980101,서울특별시 중구 남대문로4가,회현119안전센터,중부소방서,,Y,종합정밀점검-공공기관,중구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.560660,126.974740,approximate:서울특별시 중구 남대문로4가
,문화재,11000000000006,,,일반대상물,,도시,Y,,전통건축물,14920305,서울특별시 종로구 종로2가,현장대응단,종로소방서,,,,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.569740,126.986020,approximate:서울특별시 종로구 종로2가
,복합건축물,11000000000008,,,일반대상물,,도시,,,기타 복합건축물(근생/판매/업무/숙박 및 위락과 주택용도로 함께 사용),16640906,서울특별시 종로구 혜화동,연건119안전센터,종로소방서,,,,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.585920,127.001520,approximate:서울특별시 종로구 혜화동
,문화재,11000000000009,,,일반대상물,,도시,,,기타(문화재),17191205,서울특별시 종로구 홍지동,신영119안전센터,종로소방서,,,,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.600900,126.956620,approximate:서울특별시 종로구 홍지동
,문화재,11000000000010,,,일반대상물,,도시,Y,,전통건축물,17801102,서울특별시 종로구 명륜3가,연건119안전센터,종로소방서,,,,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.588880,126.995320,approximate:서울특별시 종로구 명륜3가
삼선어린이집,문화재,11000000000013,,,일반대상물,,도시,,,전통건축물,19680801,서울특별시 성북구 삼선동1가,돈암119안전센터,성북소방서,,,,성북구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.589960,127.008220,approximate:서울특별시 성북구 삼선동1가
,문화재,11000000000014,,,일반대상물,,도시,Y,,전통건축물,18740610,서울특별시 종로구 가회동,종로119안전센터,종로소방서,,,,종로구,서울특별시,2026-06-11T07:47:07.683Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=378,37.581540,126.985600,approximate:서울특별시 종로구 가회동
